relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time,tempC0,tempC1,tempC2,tempC3,tempC4,tempC5
classic,,,True,0.06,0.095,1,0.047802910280716454,576.4197781085968,73.0,75.0,77.0,76.0,73.0,75.0
classic,,,True,0.06,0.095,1,0.04431929954777244,573.3949856758118,77.0,75.0,75.0,75.0,73.0,73.0
classic,,,True,0.06,0.095,1,0.03818868585451305,583.2363464832306,76.0,76.0,76.0,75.0,72.0,76.0
classic,,,True,0.06,0.095,1,0.04220829797760653,586.0362701416016,76.0,74.0,76.0,77.0,76.0,76.0
classic,,,True,0.06,0.095,1,0.04723275702292033,575.7980968952179,77.0,78.0,75.0,76.0,76.0,76.0
classic,,,True,0.06,0.095,1,0.048816033291034795,586.246984243393,77.0,78.0,78.0,75.0,76.0,77.0
classic,,,True,0.06,0.095,1,0.04519001620019866,583.191477060318,74.0,76.0,77.0,77.0,75.0,74.0
classic,,,True,0.06,0.095,1,0.04720833801259125,586.0337812900543,77.0,77.0,77.0,77.0,75.0,74.0
classic,,,True,0.06,0.095,1,0.04475709390752656,591.5724673271179,77.0,76.0,76.0,77.0,73.0,77.0
classic,,,True,0.06,0.095,1,0.046960889043808005,572.3681192398071,77.0,76.0,76.0,77.0,73.0,77.0
classic,,,True,0.06,0.095,1,0.04979781263342737,591.7078814506531,77.0,75.0,78.0,78.0,77.0,78.0
classic,,,True,0.06,0.095,1,0.04411095222049762,586.4221584796906,78.0,78.0,79.0,76.0,77.0,77.0
classic,,,True,0.06,0.095,1,0.042303782769348854,571.7526488304138,74.0,76.0,77.0,78.0,75.0,75.0
classic,,,True,0.06,0.095,1,0.0467010975984471,582.3321566581726,77.0,76.0,77.0,77.0,75.0,74.0
classic,,,True,0.06,0.095,1,0.04212726881804019,576.9652955532074,76.0,76.0,75.0,77.0,74.0,76.0
classic,,,True,0.06,0.095,1,0.047447994519356114,584.3093852996826,78.0,77.0,78.0,77.0,74.0,77.0
classic,,,True,0.06,0.095,1,0.04629335359579629,580.3975429534912,77.0,77.0,79.0,76.0,77.0,76.0
classic,,,True,0.06,0.095,1,0.04606453380304561,594.0579252243042,77.0,76.0,79.0,79.0,77.0,78.0
classic,,,True,0.06,0.095,1,0.04979777616367914,572.1706326007843,73.0,76.0,77.0,77.0,75.0,75.0
classic,,,True,0.06,0.095,1,0.048573633861120936,580.8211936950684,77.0,76.0,77.0,77.0,75.0,74.0
classic,,,True,0.06,0.095,1,0.044294533671658344,587.9893209934235,78.0,76.0,76.0,78.0,74.0,77.0
classic,,,True,0.06,0.095,1,0.04127698472735262,585.4872069358826,78.0,77.0,79.0,77.0,74.0,77.0
