relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time,tempC0,tempC1,tempC2,tempC3,tempC4,tempC5
groups,and,,True,0.06,0.095,1,0.12446850760949536,740.552408695221,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.13236889486808937,730.173769235611,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.14580010007900404,733.9815039634705,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12967632204504484,726.7462537288666,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.129131136620673,725.5157420635223,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.14626326619841976,738.0358107089996,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.1159052793729214,737.2976775169373,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.11342629541772829,730.5784647464752,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12681178524116682,726.4706754684448,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.11745717714356348,728.551472902298,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12069776672249263,733.5373711585999,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.11171770284912268,741.2619726657867,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.14258124325067698,738.6805529594421,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12727373316719523,735.4783637523651,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.13671389717539795,733.073230266571,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.13980608696392444,732.8202929496765,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.13400794952907666,736.7767310142517,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12541106856850445,726.9082119464874,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.1294749931121397,731.1069278717041,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12222304439693579,738.4262425899506,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.1368530087480941,735.3030829429626,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.13048968090350718,731.2522463798523,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.1163519280683548,719.0605118274689,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.14154353619039955,724.3050625324249,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.13943579359786895,740.5278263092041,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.13732684784240864,737.1824538707733,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.14309418674623223,740.3228912353516,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12260822804309401,743.242888212204,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.11430495492814212,734.4347684383392,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.1476598602747127,737.9049971103668,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.15077931930257926,742.950897693634,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.13300185672645806,733.8705961704254,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.14202939066023845,725.2376117706299,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.1345044015752552,731.0760781764984,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.1251767368032969,724.6565589904785,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.11844725726905887,721.3788046836853,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.1456768941260496,741.1640899181366,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.1258650164884576,729.2186548709869,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12020936615343793,725.8383469581604,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.1275486168306028,730.3475594520569,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12414738105548556,737.2344024181366,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12401307754455113,725.7560033798218,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12523660543537302,727.901668548584,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12849863198199413,730.4894001483917,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.131822922207276,732.716080904007,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.12288920588876089,734.8835334777832,/,/,/,/,/,/
groups,and,,True,0.06,0.095,1,0.13125432499823625,729.6894280910492,/,/,/,/,/,/
