relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time,tempC0,tempC1,tempC2,tempC3,tempC4,tempC5
groups,numbers,,True,0.06,0.095,1,0.04795957826149353,736.8824636936188,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.04417186571147077,738.4474174976349,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.0478438874850495,740.1972029209137,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05315883435386177,724.2337982654572,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05597398780135034,730.9665760993958,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.03979740681692918,734.6066830158234,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.047973070481304524,740.918080329895,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.04794706359851878,734.8806147575378,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.04856983464935628,742.2675268650055,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.060578721486001616,735.6637618541718,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05082548414217218,729.9884567260742,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.0522440995712455,732.7011940479279,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.0539037939675173,744.1807451248169,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05212003638522816,731.6828849315643,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.0481953145871243,742.4699947834015,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05639023765583463,735.0191614627838,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05469235904719462,723.4262511730194,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05404445903494901,724.0565440654755,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.057758135075536725,731.5515232086182,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05213242600315742,745.2996118068695,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05509838331952211,739.7978596687317,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.04833453090254972,730.5270690917969,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05112412513893689,737.6921365261078,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.051974143745709835,728.3821969032288,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.053701903739317734,721.4013838768005,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.050059189698120565,737.0923058986664,/,/,/,/,/,/
