relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time,tempC0,tempC1,tempC2,tempC3,tempC4,tempC5
peers,and,,True,0.06,0.095,1,0.05647921415794806,581.8666887283325,74.0,78.0,76.0,77.0,75.0,76.0
peers,and,,True,0.06,0.095,1,0.06521056584040089,598.5566852092743,78.0,79.0,79.0,75.0,77.0,78.0
peers,and,,True,0.06,0.095,1,0.0488947901415442,575.7999408245087,76.0,78.0,79.0,79.0,77.0,77.0
peers,and,,True,0.06,0.095,1,0.05213730324195407,607.1836178302765,80.0,80.0,81.0,77.0,79.0,79.0
peers,and,,True,0.06,0.095,1,0.05960608293862602,577.8476662635803,74.0,79.0,78.0,78.0,75.0,76.0
peers,and,,True,0.06,0.095,1,0.05497043984381796,582.5793800354004,79.0,79.0,81.0,77.0,78.0,79.0
peers,and,,True,0.06,0.095,1,0.0623647982095805,569.2306637763977,76.0,78.0,78.0,79.0,75.0,77.0
peers,and,,True,0.06,0.095,1,0.05633129886196839,592.3515260219574,79.0,82.0,77.0,82.0,80.0,80.0
peers,and,,True,0.06,0.095,1,0.055254144230983994,573.3961689472198,77.0,78.0,79.0,79.0,75.0,78.0
peers,and,,True,0.06,0.095,1,0.05779509599503775,586.0326211452484,79.0,80.0,77.0,81.0,80.0,78.0
peers,and,,True,0.06,0.095,1,0.05364420710881642,572.424117565155,80.0,78.0,80.0,79.0,75.0,77.0
peers,and,,True,0.06,0.095,1,0.06672990971356005,595.5479135513306,79.0,79.0,77.0,80.0,79.0,78.0
peers,and,,True,0.06,0.095,1,0.056449445875416004,577.4519674777985,79.0,77.0,80.0,78.0,75.0,77.0
peers,and,,True,0.06,0.095,1,0.05972593214736834,589.0152289867401,75.0,80.0,77.0,80.0,78.0,78.0
peers,and,,True,0.06,0.095,1,0.061312186061914416,572.8027181625366,79.0,78.0,79.0,79.0,75.0,78.0
peers,and,,True,0.06,0.095,1,0.05505873284920118,582.2344622612,77.0,80.0,77.0,80.0,79.0,78.0
peers,and,,True,0.06,0.095,1,0.06039982010428929,569.8554124832153,79.0,77.0,80.0,78.0,75.0,78.0
peers,and,,True,0.06,0.095,1,0.05441832342103722,597.3334398269653,76.0,79.0,77.0,80.0,78.0,78.0
peers,and,,True,0.06,0.095,1,0.06444138841262369,580.7299680709839,79.0,77.0,79.0,78.0,75.0,78.0
peers,and,,True,0.06,0.095,1,0.06468860996345652,592.0663306713104,61.0,75.0,59.0,76.0,59.0,69.0
peers,and,,True,0.06,0.095,1,0.054305518347397774,570.4791836738586,73.0,74.0,63.0,72.0,74.0,74.0
peers,and,,True,0.06,0.095,1,0.055697010090516176,593.4381275177002,76.0,76.0,71.0,76.0,61.0,75.0
peers,and,,True,0.06,0.095,1,0.06060772909279388,577.8976330757141,73.0,76.0,72.0,75.0,74.0,62.0
peers,and,,True,0.06,0.095,1,0.05635275908812543,581.764410495758,64.0,71.0,75.0,76.0,74.0,75.0
peers,and,,True,0.06,0.095,1,0.05619051954440215,564.7735300064087,64.0,75.0,72.0,75.0,73.0,75.0
peers,and,,True,0.06,0.095,1,0.05736846341096198,583.1500804424286,73.0,76.0,63.0,77.0,70.0,75.0
peers,and,,True,0.06,0.095,1,0.058323766024741326,568.36363530159,74.0,71.0,76.0,64.0,73.0,71.0
peers,and,,True,0.06,0.095,1,0.05715345179099027,603.1458961963654,75.0,77.0,73.0,76.0,74.0,62.0
peers,and,,True,0.06,0.095,1,0.05851837336124274,574.4580745697021,72.0,74.0,63.0,76.0,70.0,75.0
peers,and,,True,0.06,0.095,1,0.06266801197387903,592.2238094806671,64.0,76.0,76.0,76.0,71.0,75.0
peers,and,,True,0.06,0.095,1,0.05613656797620118,566.7998745441437,72.0,62.0,72.0,73.0,75.0,75.0
peers,and,,True,0.06,0.095,1,0.05424103072922744,587.3201913833618,75.0,73.0,76.0,76.0,62.0,74.0
peers,and,,True,0.06,0.095,1,0.06704918288549266,586.2746005058289,75.0,62.0,75.0,74.0,73.0,71.0
peers,and,,True,0.06,0.095,1,0.06389809626815209,579.4097261428833,74.0,72.0,77.0,64.0,75.0,74.0
peers,and,,True,0.06,0.095,1,0.06548341461293507,568.5334584712982,74.0,76.0,76.0,73.0,62.0,73.0
peers,and,,True,0.06,0.095,1,0.05980147210124206,590.0686409473419,75.0,75.0,72.0,64.0,75.0,74.0
peers,and,,True,0.06,0.095,1,0.05569745081400905,577.3724119663239,73.0,75.0,72.0,75.0,71.0,62.0
peers,and,,True,0.06,0.095,1,0.0521680116566037,588.5969321727753,74.0,73.0,63.0,77.0,73.0,75.0
peers,and,,True,0.06,0.095,1,0.05970019158527027,579.7948582172394,75.0,75.0,75.0,64.0,72.0,74.0
peers,and,,True,0.06,0.095,1,0.0677772325813388,597.7419481277466,75.0,71.0,76.0,63.0,75.0,75.0
peers,and,,True,0.06,0.095,1,0.056067108351084714,578.4373619556427,64.0,71.0,74.0,75.0,75.0,76.0
peers,and,,True,0.06,0.095,1,0.06202278815879644,587.5778050422668,74.0,73.0,63.0,75.0,75.0,75.0
peers,and,,True,0.06,0.095,1,0.06062513650683002,569.2294328212738,75.0,76.0,74.0,73.0,61.0,75.0
peers,and,,True,0.06,0.095,1,0.05805881101482572,584.5777728557587,76.0,76.0,77.0,72.0,75.0,61.0
peers,and,,True,0.06,0.095,1,0.056970836839489704,579.1475255489349,64.0,72.0,76.0,77.0,73.0,75.0
peers,and,,True,0.06,0.095,1,0.05401090204350977,602.3266775608063,64.0,76.0,76.0,73.0,76.0,75.0
peers,and,,True,0.06,0.095,1,0.060116550273468246,579.7205610275269,64.0,76.0,72.0,76.0,75.0,74.0
peers,and,,True,0.06,0.095,1,0.054645917299516164,588.1417028903961,76.0,63.0,77.0,74.0,75.0,71.0
peers,and,,True,0.06,0.095,1,0.05575196989621638,564.4787583351135,71.0,75.0,75.0,76.0,62.0,75.0
peers,and,,True,0.06,0.095,1,0.06204466966969869,581.864734172821,75.0,76.0,72.0,77.0,62.0,75.0
peers,and,,True,0.06,0.095,1,0.06043577540741727,572.3713409900665,72.0,74.0,76.0,77.0,61.0,76.0
peers,and,,True,0.06,0.095,1,0.060324009644606075,584.3086051940918,71.0,62.0,77.0,76.0,75.0,75.0
peers,and,,True,0.06,0.095,1,0.06021187865480565,562.316972732544,75.0,76.0,77.0,71.0,73.0,61.0
peers,and,,True,0.06,0.095,1,0.05715308851958673,584.272696018219,75.0,76.0,76.0,73.0,62.0,75.0
peers,and,,True,0.06,0.095,1,0.06122457744023082,573.0545480251312,74.0,74.0,74.0,64.0,75.0,69.0
peers,and,,True,0.06,0.095,1,0.05276546443827049,593.2539663314819,76.0,76.0,72.0,76.0,61.0,76.0
peers,and,,True,0.06,0.095,1,0.06248452546849778,573.8584175109863,73.0,71.0,77.0,64.0,74.0,72.0
peers,and,,True,0.06,0.095,1,0.06089507966622234,588.4493165016174,71.0,76.0,63.0,77.0,74.0,75.0
peers,and,,True,0.06,0.095,1,0.05782417340605172,569.4062922000885,75.0,75.0,72.0,73.0,61.0,74.0
peers,and,,True,0.06,0.095,1,0.061906036509452166,584.3727324008942,75.0,63.0,77.0,75.0,71.0,75.0
peers,and,,True,0.06,0.095,1,0.05989199676211419,575.7465543746948,74.0,75.0,74.0,71.0,73.0,61.0
peers,and,,True,0.06,0.095,1,0.05909777764587877,584.3783457279205,75.0,76.0,63.0,75.0,70.0,75.0
peers,and,,True,0.06,0.095,1,0.0656615916600721,575.426037311554,74.0,75.0,72.0,64.0,73.0,72.0
peers,and,,True,0.06,0.095,1,0.06376120906780815,580.3035881519318,63.0,75.0,76.0,77.0,75.0,70.0
peers,and,,True,0.06,0.095,1,0.05751913504975298,574.6732404232025,74.0,74.0,73.0,77.0,62.0,70.0
peers,and,,True,0.06,0.095,1,0.0648687293606449,590.3235065937042,74.0,76.0,72.0,75.0,74.0,62.0
peers,and,,True,0.06,0.095,1,0.0669681001506942,583.6848382949829,64.0,74.0,74.0,77.0,71.0,73.0
peers,and,,True,0.06,0.095,1,0.057627467012467105,583.9519853591919,71.0,62.0,76.0,75.0,75.0,75.0
peers,and,,True,0.06,0.095,1,0.06287994534205743,574.708404302597,75.0,72.0,74.0,72.0,61.0,75.0
peers,and,,True,0.06,0.095,1,0.05782061510367478,586.8967823982239,75.0,76.0,76.0,73.0,61.0,74.0
peers,and,,True,0.06,0.095,1,0.05873127257377203,579.0528452396393,74.0,62.0,77.0,71.0,75.0,73.0
peers,and,,True,0.06,0.095,1,0.06275861359365796,598.9361035823822,74.0,76.0,76.0,76.0,70.0,62.0
peers,and,,True,0.06,0.095,1,0.060935634027516485,579.8822038173676,72.0,71.0,62.0,75.0,71.0,75.0
peers,and,,True,0.06,0.095,1,0.06424079730066044,592.7749118804932,64.0,71.0,75.0,74.0,73.0,74.0
peers,and,,True,0.06,0.095,1,0.057419178668750154,572.3152627944946,71.0,75.0,76.0,74.0,73.0,61.0
peers,and,,True,0.06,0.095,1,0.056419348520902864,585.8977210521698,73.0,75.0,74.0,72.0,61.0,74.0
peers,and,,True,0.06,0.095,1,0.05902585969895809,562.7335305213928,74.0,75.0,62.0,72.0,73.0,74.0
peers,and,,True,0.06,0.095,1,0.06676446551643384,578.3179337978363,74.0,75.0,72.0,63.0,73.0,72.0
peers,and,,True,0.06,0.095,1,0.060599536578551334,579.6437501907349,74.0,74.0,72.0,64.0,75.0,69.0
peers,and,,True,0.06,0.095,1,0.058682153199885304,581.9954130649567,69.0,73.0,62.0,75.0,71.0,74.0
peers,and,,True,0.06,0.095,1,0.05927057836598403,570.2097070217133,65.0,75.0,74.0,71.0,75.0,72.0
peers,and,,True,0.06,0.095,1,0.05167624723276778,584.6472527980804,73.0,62.0,75.0,75.0,71.0,72.0
peers,and,,True,0.06,0.095,1,0.05724286677680322,579.0398552417755,64.0,76.0,72.0,76.0,75.0,75.0
peers,and,,True,0.06,0.095,1,0.06194447620401794,591.126796245575,64.0,74.0,72.0,76.0,70.0,73.0
peers,and,,True,0.06,0.095,1,0.05296551261978009,573.9128379821777,74.0,74.0,72.0,64.0,73.0,73.0
peers,and,,True,0.06,0.095,1,0.05932736383189144,593.414384841919,71.0,74.0,76.0,74.0,72.0,61.0
peers,and,,True,0.06,0.095,1,0.0540259952906223,577.4578766822815,73.0,61.0,62.0,74.0,74.0,71.0
peers,and,,True,0.06,0.095,1,0.059959451740511316,565.6550006866455,61.0,70.0,73.0,61.0,68.0,72.0
peers,and,,True,0.06,0.095,1,0.06557779438312711,570.0039687156677,73.0,70.0,72.0,74.0,59.0,58.0
peers,and,,True,0.06,0.095,1,0.06006075552011978,567.4669740200043,55.0,53.0,66.0,54.0,70.0,66.0
peers,and,,True,0.06,0.095,1,0.0620593571955869,562.1925277709961,55.0,53.0,70.0,54.0,70.0,65.0
peers,and,,True,0.06,0.095,1,0.053909139601520197,569.1927902698517,65.0,55.0,69.0,66.0,54.0,53.0
peers,and,,True,0.06,0.095,1,0.06009619451734402,565.1703035831451,55.0,69.0,54.0,65.0,68.0,53.0
peers,and,,True,0.06,0.095,1,0.060854432044545916,580.8277642726898,65.0,55.0,54.0,68.0,63.0,53.0
peers,and,,True,0.06,0.095,1,0.06202093725033451,565.4441800117493,63.0,68.0,54.0,55.0,53.0,68.0
peers,and,,True,0.06,0.095,1,0.06512026947932406,568.1849591732025,69.0,53.0,67.0,54.0,54.0,63.0
peers,and,,True,0.06,0.095,1,0.05913132254379282,565.603601694107,57.0,70.0,68.0,65.0,54.0,53.0
peers,and,,True,0.06,0.095,1,0.05598914066508394,566.1636884212494,55.0,64.0,54.0,54.0,65.0,68.0
peers,and,,True,0.06,0.095,1,0.05728136245205061,553.0390152931213,55.0,68.0,55.0,55.0,64.0,67.0
peers,and,,True,0.06,0.095,1,0.05830120118305242,551.0987389087677,46.0,56.0,43.0,45.0,44.0,43.0
peers,and,,True,0.06,0.095,1,0.05377286516976021,572.3717758655548,77.0,76.0,78.0,75.0,74.0,76.0
peers,and,,True,0.06,0.095,1,0.05304604903488469,592.2347786426544,78.0,77.0,79.0,79.0,78.0,74.0
peers,and,,True,0.06,0.095,1,0.059848204422028234,575.3256621360779,77.0,78.0,79.0,77.0,74.0,76.0
peers,and,,True,0.06,0.095,1,0.05425895906004312,592.5381827354431,79.0,78.0,78.0,80.0,79.0,74.0
peers,and,,True,0.06,0.095,1,0.06126694849257279,572.0949323177338,79.0,78.0,80.0,77.0,75.0,76.0
peers,and,,True,0.06,0.095,1,0.056040908652651066,593.93399310112,79.0,78.0,80.0,79.0,80.0,75.0
peers,and,,True,0.06,0.095,1,0.0630021768982027,571.4573044776917,77.0,78.0,78.0,77.0,74.0,75.0
peers,and,,True,0.06,0.095,1,0.057882816232274904,603.7283415794373,79.0,78.0,80.0,80.0,80.0,75.0
peers,and,,True,0.06,0.095,1,0.06005251463593891,574.8145823478699,76.0,78.0,77.0,77.0,76.0,76.0
peers,and,,True,0.06,0.095,1,0.05163361392677811,593.136105298996,79.0,78.0,80.0,80.0,78.0,75.0
peers,and,,True,0.06,0.095,1,0.056853378989489216,573.67870926857,76.0,78.0,77.0,79.0,75.0,77.0
peers,and,,True,0.06,0.095,1,0.05408490556308615,594.1976492404938,79.0,78.0,80.0,80.0,79.0,75.0
peers,and,,True,0.06,0.095,1,0.05994844657528307,580.5997817516327,77.0,80.0,78.0,79.0,75.0,76.0
peers,and,,True,0.06,0.095,1,0.06367474177791042,607.5678391456604,80.0,80.0,79.0,81.0,79.0,75.0
peers,and,,True,0.06,0.095,1,0.06090581712147703,577.0971460342407,77.0,80.0,80.0,77.0,75.0,78.0
peers,and,,True,0.06,0.095,1,0.06175970946420308,598.1397340297699,79.0,80.0,81.0,80.0,79.0,75.0
peers,and,,True,0.06,0.095,1,0.06158544504204476,574.3893325328827,78.0,81.0,77.0,81.0,75.0,79.0
peers,and,,True,0.06,0.095,1,0.05044794662428631,594.6484112739563,73.0,80.0,80.0,80.0,80.0,76.0
peers,and,,True,0.06,0.095,1,0.06400607448044977,584.5589740276337,77.0,79.0,80.0,81.0,75.0,79.0
peers,and,,True,0.06,0.095,1,0.057493936099307495,600.4192044734955,79.0,80.0,78.0,80.0,65.0,74.0
peers,and,,True,0.06,0.095,1,0.0626912923349865,572.4974110126495,73.0,76.0,76.0,64.0,72.0,72.0
peers,and,,True,0.06,0.095,1,0.05977913564588314,585.5492703914642,76.0,74.0,76.0,76.0,62.0,72.0
peers,and,,True,0.06,0.095,1,0.05668745031049074,565.5276966094971,75.0,74.0,76.0,72.0,73.0,62.0
peers,and,,True,0.06,0.095,1,0.05257471017179755,593.2475340366364,75.0,75.0,73.0,64.0,74.0,74.0
peers,and,,True,0.06,0.095,1,0.06096707105058197,578.698867559433,74.0,76.0,72.0,75.0,73.0,62.0
peers,and,,True,0.06,0.095,1,0.058998125593983014,585.1998081207275,76.0,77.0,76.0,75.0,62.0,71.0
peers,and,,True,0.06,0.095,1,0.06440601185042982,572.9241263866425,73.0,73.0,62.0,74.0,74.0,75.0
peers,and,,True,0.06,0.095,1,0.05846580171188766,585.3468039035797,75.0,76.0,77.0,74.0,72.0,62.0
peers,and,,True,0.06,0.095,1,0.0552374550174041,570.8248145580292,71.0,75.0,63.0,75.0,75.0,74.0
peers,and,,True,0.06,0.095,1,0.05916975665398361,584.868225812912,72.0,62.0,77.0,76.0,74.0,76.0
peers,and,,True,0.06,0.095,1,0.06495044892824109,574.1281063556671,74.0,73.0,72.0,64.0,75.0,73.0
peers,and,,True,0.06,0.095,1,0.05915532235271229,590.547244310379,76.0,74.0,76.0,73.0,75.0,62.0
peers,and,,True,0.06,0.095,1,0.055401996443280546,569.8201580047607,74.0,63.0,75.0,75.0,72.0,75.0
peers,and,,True,0.06,0.095,1,0.05519712659257638,582.3450067043304,74.0,74.0,63.0,77.0,71.0,75.0
peers,and,,True,0.06,0.095,1,0.04853254669907696,588.6670324802399,71.0,76.0,74.0,75.0,62.0,74.0
peers,and,,True,0.06,0.095,1,0.05536571108289006,595.0380520820618,76.0,72.0,74.0,64.0,74.0,74.0
peers,and,,True,0.06,0.095,1,0.0546303523012723,569.8851244449615,72.0,76.0,76.0,75.0,62.0,74.0
peers,and,,True,0.06,0.095,1,0.06231876879939079,586.8146572113037,76.0,73.0,74.0,77.0,62.0,75.0
peers,and,,True,0.06,0.095,1,0.0651524749915384,567.0748472213745,76.0,73.0,72.0,63.0,74.0,72.0
peers,and,,True,0.06,0.095,1,0.058141944431816014,583.6897966861725,64.0,74.0,77.0,74.0,75.0,75.0
peers,and,,True,0.06,0.095,1,0.05643129568887956,568.6865956783295,74.0,72.0,63.0,75.0,72.0,75.0
peers,and,,True,0.06,0.095,1,0.05355977490692222,594.3167595863342,64.0,77.0,77.0,77.0,74.0,72.0
peers,and,,True,0.06,0.095,1,0.05183761748740614,575.5442521572113,72.0,77.0,74.0,77.0,63.0,73.0
peers,and,,True,0.06,0.095,1,0.0634337444551398,589.0049738883972,76.0,62.0,75.0,73.0,76.0,75.0
peers,and,,True,0.06,0.095,1,0.06663459319847982,569.6347904205322,75.0,75.0,72.0,74.0,73.0,62.0
peers,and,,True,0.06,0.095,1,0.06066185300790953,585.9675998687744,64.0,74.0,76.0,74.0,75.0,75.0
peers,and,,True,0.06,0.095,1,0.0564878833974652,568.0463435649872,73.0,62.0,77.0,74.0,71.0,74.0
peers,and,,True,0.06,0.095,1,0.0532912480393098,586.4738392829895,65.0,76.0,76.0,73.0,74.0,67.0
peers,and,,True,0.06,0.095,1,0.05488713397925178,577.511148929596,73.0,75.0,74.0,64.0,73.0,74.0
peers,and,,True,0.06,0.095,1,0.07138302181503905,590.0850439071655,73.0,62.0,77.0,74.0,76.0,71.0
peers,and,,True,0.06,0.095,1,0.06538992979400278,579.0962581634521,71.0,74.0,63.0,76.0,74.0,73.0
peers,and,,True,0.06,0.095,1,0.055256940997780474,595.8831350803375,75.0,73.0,77.0,74.0,73.0,62.0
peers,and,,True,0.06,0.095,1,0.050631178214024554,589.3978266716003,73.0,75.0,77.0,64.0,71.0,72.0
peers,and,,True,0.06,0.095,1,0.05546646227393423,589.9394414424896,74.0,75.0,63.0,75.0,74.0,71.0
peers,and,,True,0.06,0.095,1,0.06453777049213127,565.7852892875671,71.0,75.0,76.0,75.0,73.0,62.0
peers,and,,True,0.06,0.095,1,0.06018225729919205,583.4808573722839,75.0,73.0,76.0,76.0,62.0,72.0
peers,and,,True,0.06,0.095,1,0.05855119598477168,572.4136018753052,73.0,76.0,76.0,75.0,73.0,63.0
peers,and,,True,0.06,0.095,1,0.0521454263359883,591.5970132350922,72.0,62.0,76.0,73.0,75.0,75.0
peers,and,,True,0.06,0.095,1,0.06514880230979418,577.559680223465,74.0,72.0,75.0,75.0,62.0,73.0
peers,and,,True,0.06,0.095,1,0.05934536888387703,586.4414982795715,74.0,76.0,73.0,73.0,62.0,75.0
peers,and,,True,0.06,0.095,1,0.06003182557611799,566.8971562385559,75.0,73.0,72.0,64.0,73.0,74.0
peers,and,,True,0.06,0.095,1,0.05628577587620747,599.519002199173,72.0,75.0,74.0,74.0,61.0,75.0
peers,and,,True,0.06,0.095,1,0.06368547260483465,573.0205030441284,74.0,73.0,76.0,74.0,75.0,62.0
peers,and,,True,0.06,0.095,1,0.0597111517317316,584.9127774238586,73.0,62.0,76.0,72.0,76.0,74.0
peers,and,,True,0.06,0.095,1,0.05694828816159039,567.056428194046,74.0,73.0,63.0,77.0,72.0,74.0
peers,and,,True,0.06,0.095,1,0.05996423270692802,583.0797090530396,73.0,72.0,76.0,73.0,74.0,62.0
peers,and,,True,0.06,0.095,1,0.05703811494760496,566.2160823345184,75.0,76.0,74.0,73.0,70.0,62.0
peers,and,,True,0.06,0.095,1,0.06037822980690599,574.3471348285675,73.0,62.0,74.0,75.0,71.0,71.0
peers,and,,True,0.06,0.095,1,0.05339221671740853,597.4778952598572,75.0,75.0,71.0,76.0,61.0,74.0
peers,and,,True,0.06,0.095,1,0.057493986289451474,576.9278748035431,73.0,62.0,77.0,71.0,74.0,75.0
peers,and,,True,0.06,0.095,1,0.05736090992330814,584.92209815979,73.0,73.0,72.0,76.0,62.0,75.0
peers,and,,True,0.06,0.095,1,0.058926857486737115,574.063597202301,73.0,62.0,77.0,72.0,73.0,75.0
peers,and,,True,0.06,0.095,1,0.05880610113229433,590.7987842559814,74.0,62.0,77.0,73.0,73.0,71.0
peers,and,,True,0.06,0.095,1,0.06133628583066613,572.3562052249908,74.0,73.0,63.0,75.0,72.0,75.0
peers,and,,True,0.06,0.095,1,0.06485601842155146,586.6501202583313,71.0,62.0,73.0,75.0,73.0,72.0
