relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time
groups,and,,True,0.06,0.095,3,0.06421005747780496,145.86994433403015
groups,and,,True,0.06,0.095,3,0.06688326298105247,138.81526589393616
groups,and,,True,0.06,0.095,3,0.05533739985481926,133.3786895275116
groups,and,,True,0.06,0.095,3,0.05905490038094074,129.84541869163513
groups,and,,True,0.06,0.095,3,0.06539820337628138,127.89007687568665
groups,and,,True,0.06,0.095,3,0.06331410826140442,126.88685536384583
groups,and,,True,0.06,0.095,3,0.06554816686711509,123.84625720977783
groups,and,,True,0.06,0.095,3,0.06402302533009385,125.3999650478363
groups,and,,True,0.06,0.095,3,0.06515524259853178,133.87869477272034
groups,and,,True,0.06,0.095,3,0.06228009552993926,148.31698989868164
groups,and,,True,0.06,0.15,3,0.06446758673231393,132.44699668884277
groups,and,,True,0.06,0.15,3,0.058098009697462226,134.6506745815277
groups,and,,True,0.06,0.15,3,0.06365727671147306,135.41740822792053
groups,and,,True,0.06,0.15,3,0.06767940606758596,136.90409779548645
groups,and,,True,0.06,0.15,3,0.056801320619771646,129.35585618019104
groups,and,,True,0.06,0.15,3,0.060763837475065016,133.3268337249756
groups,and,,True,0.06,0.15,3,0.0631509153534982,133.1611692905426
groups,and,,True,0.06,0.15,3,0.06117433907968148,137.97099041938782
groups,and,,True,0.06,0.15,3,0.06408374702105847,134.25483345985413
groups,and,,True,0.06,0.15,3,0.058665842623460134,134.15853810310364
