relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time
groups,numbers,,True,0.06,0.095,3,0.04920700841002419,208.78057861328125
groups,numbers,,True,0.06,0.095,3,0.046418298783932506,127.58233785629272
groups,numbers,,True,0.06,0.095,3,0.046354982200484875,131.96713852882385
groups,numbers,,True,0.06,0.095,3,0.051019221378863576,124.17734909057617
groups,numbers,,True,0.06,0.095,3,0.04950766391211563,123.815345287323
groups,numbers,,True,0.06,0.095,3,0.05327066585576957,127.68152379989624
groups,numbers,,True,0.06,0.095,3,0.05087946743589866,126.92457723617554
groups,numbers,,True,0.06,0.095,3,0.05554198051701666,126.82472467422485
groups,numbers,,True,0.06,0.095,3,0.051243741004378285,123.89485049247742
groups,numbers,,True,0.06,0.095,3,0.05323672817206913,122.39694285392761
groups,numbers,,True,0.06,0.15,3,0.05480063840563843,127.08902406692505
groups,numbers,,True,0.06,0.15,3,0.050609326688267925,121.14669561386108
groups,numbers,,True,0.06,0.15,3,0.05078668111831944,121.67533373832703
groups,numbers,,True,0.06,0.15,3,0.05411425477766311,122.47950172424316
groups,numbers,,True,0.06,0.15,3,0.05017812063772592,122.16754865646362
groups,numbers,,True,0.06,0.15,3,0.045504551552897794,123.07914638519287
groups,numbers,,True,0.06,0.15,3,0.06235233764926302,122.22569561004639
groups,numbers,,True,0.06,0.15,3,0.05837287919014189,122.3694806098938
groups,numbers,,True,0.06,0.15,3,0.0509790698562892,122.49354410171509
groups,numbers,,True,0.06,0.15,3,0.052731890689067355,122.43627095222473
