relationship,method,colourDistribution,static,l,r,maxExecsPS,result,p_acc,p_den,time
classic,,,True,0.06,0.095,5,0.04259112060892054,0.22657952069716775,0.7734204793028322,22.05719256401062
classic,,,True,0.06,0.095,5,0.040083177017295794,0.16122004357298475,0.8387799564270153,21.416057348251343
classic,,,True,0.06,0.095,5,0.04426492665504074,0.1394335511982571,0.8605664488017429,22.71800923347473
classic,,,True,0.06,0.095,5,0.041159692669090565,0.16122004357298475,0.8387799564270153,23.879340171813965
classic,,,True,0.06,0.095,5,0.047026468088510465,0.19389978213507625,0.8061002178649237,24.395511627197266
classic,,,True,0.06,0.095,5,0.04687204580925704,0.1830065359477124,0.8169934640522876,25.82429075241089
classic,,,True,0.06,0.095,5,0.04170383684656516,0.15250544662309368,0.8474945533769063,28.208378553390503
classic,,,True,0.06,0.095,5,0.04568324024554463,0.16993464052287582,0.8300653594771242,26.391444444656372
classic,,,True,0.06,0.095,5,0.04656475879713442,0.11546840958605664,0.8845315904139434,26.74164056777954
classic,,,True,0.06,0.095,5,0.049965376647352525,0.16339869281045752,0.8366013071895425,27.72746205329895
classic,,,True,0.06,0.15,5,0.04698073470305686,0.16632443531827515,0.8336755646817249,28.077527046203613
classic,,,True,0.06,0.15,5,0.05030033237923923,0.2032854209445585,0.7967145790554415,28.053978204727173
classic,,,True,0.06,0.15,5,0.04498543298730846,0.13347022587268995,0.86652977412731,28.810184001922607
classic,,,True,0.06,0.15,5,0.047597207161635006,0.1540041067761807,0.8459958932238193,28.047459840774536
classic,,,True,0.06,0.15,5,0.04349498548742361,0.17453798767967146,0.8254620123203286,28.208126544952393
classic,,,True,0.06,0.15,5,0.04436283069820262,0.162217659137577,0.837782340862423,28.191054821014404
classic,,,True,0.06,0.15,5,0.04896284770328001,0.17864476386036962,0.8213552361396304,28.018516063690186
classic,,,True,0.06,0.15,5,0.04396143216873165,0.15605749486652978,0.8439425051334702,28.25206446647644
classic,,,True,0.06,0.15,5,0.043549956361266975,0.14168377823408623,0.8583162217659137,28.140771865844727
classic,,,True,0.06,0.15,5,0.04453114313366508,0.162217659137577,0.837782340862423,28.224894285202026
classic,,,True,0.06,0.95,5,0.03930414506168872,0.1424617976176152,0.8575382023823848,447.62875509262085
classic,,,True,0.06,0.95,5,0.034750205871341165,0.13440019251594273,0.8655998074840573,453.955365896225
classic,,,True,0.06,0.95,5,0.036976562963409565,0.14294308747443146,0.8570569125255685,454.31669998168945
classic,,,True,0.06,0.95,5,0.034471251084205574,0.12549633016484177,0.8745036698351583,460.0864477157593
classic,,,True,0.06,0.95,5,0.03490578717589957,0.13620502947900373,0.8637949705209963,451.16897678375244
classic,,,True,0.06,0.95,5,0.036991998193351694,0.12345084827337263,0.8765491517266274,452.3026034832001
classic,,,True,0.06,0.95,5,0.03435097119695285,0.1359643845505956,0.8640356154494044,443.97604846954346
classic,,,True,0.06,0.95,5,0.037387238137344424,0.16111177956924558,0.8388882204307544,444.17855525016785
classic,,,True,0.06,0.95,5,0.034034039496997646,0.14113825051137047,0.8588617494886295,452.43392968177795
classic,,,True,0.06,0.95,5,0.032773061069634284,0.12802310191312719,0.8719768980868728,452.98727202415466
classic,,,True,0.03,0.095,5,0.03795235877884651,0.1277292576419214,0.8722707423580786,49.72225856781006
classic,,,True,0.03,0.095,5,0.03798864304555678,0.16593886462882096,0.834061135371179,49.538434982299805
classic,,,True,0.03,0.095,5,0.042007186271228666,0.15611353711790393,0.8438864628820961,49.66533446311951
classic,,,True,0.03,0.095,5,0.039325714472415604,0.14847161572052403,0.851528384279476,49.57431960105896
classic,,,True,0.03,0.095,5,0.043028284135177876,0.1408296943231441,0.8591703056768559,49.847278356552124
classic,,,True,0.03,0.095,5,0.04066942585724996,0.13755458515283842,0.8624454148471615,51.685253381729126
classic,,,True,0.03,0.095,5,0.046902384737160865,0.15611353711790393,0.8438864628820961,49.64354968070984
classic,,,True,0.03,0.095,5,0.04520709330236875,0.14410480349344978,0.8558951965065502,49.98520278930664
classic,,,True,0.03,0.095,5,0.04142684391325199,0.1539301310043668,0.8460698689956332,49.97392177581787
classic,,,True,0.03,0.095,5,0.037773813479118346,0.12882096069868995,0.87117903930131,50.2396354675293
classic,,,True,0.03,0.15,5,0.043528162325857184,0.14182939362795477,0.8581706063720452,53.327207803726196
classic,,,True,0.03,0.15,5,0.03869761229564541,0.13566289825282632,0.8643371017471737,53.48601198196411
classic,,,True,0.03,0.15,5,0.03950839687757552,0.1510791366906475,0.8489208633093526,54.13003921508789
classic,,,True,0.03,0.15,5,0.03794648991643483,0.13360739979445016,0.8663926002055499,53.783872842788696
classic,,,True,0.03,0.15,5,0.04053314057786215,0.14696813977389517,0.8530318602261048,53.86275935173035
classic,,,True,0.03,0.15,5,0.03844473316972957,0.14285714285714285,0.8571428571428571,53.66953754425049
classic,,,True,0.03,0.15,5,0.03914019870727333,0.16341212744090441,0.8365878725590956,53.72545504570007
classic,,,True,0.03,0.15,5,0.039670698366548636,0.1397738951695786,0.8602261048304214,53.76850152015686
classic,,,True,0.03,0.15,5,0.03988086851695733,0.16649537512846865,0.8335046248715313,53.86253046989441
classic,,,True,0.03,0.15,5,0.039487983959789086,0.11408016443987667,0.8859198355601233,53.59929299354553
