relationship,method,colourDistribution,static,l,r,maxExecsPS,result,p_acc,p_den,time
colours,and,random2colours,True,0.06,0.095,5,0.05414271628541356,0.0457516339869281,0.954248366013072,26.39764642715454
colours,and,random2colours,True,0.06,0.095,5,0.06403620013231524,0.034858387799564274,0.9651416122004357,27.02330446243286
colours,and,random2colours,True,0.06,0.095,5,0.05864160728780636,0.0392156862745098,0.9607843137254902,26.247567892074585
colours,and,random2colours,True,0.06,0.095,5,0.06251156122384761,0.017429193899782137,0.9825708061002179,26.778461933135986
colours,and,random2colours,True,0.06,0.095,5,0.0596741398946529,0.0457516339869281,0.954248366013072,26.329192638397217
colours,and,random2colours,True,0.06,0.095,5,0.05548697425221644,0.054466230936819175,0.9455337690631809,26.39566731452942
colours,and,random2colours,True,0.06,0.095,5,0.059407011297238674,0.034858387799564274,0.9651416122004357,26.685492992401123
colours,and,random2colours,True,0.06,0.095,5,0.05714368374430236,0.037037037037037035,0.9629629629629629,28.798990488052368
colours,and,random2colours,True,0.06,0.095,5,0.04661727217677152,0.030501089324618737,0.9694989106753813,27.1181697845459
colours,and,random2colours,True,0.06,0.095,5,0.051948076245567375,0.06100217864923747,0.9389978213507625,26.881194591522217
colours,and,random2colours,True,0.06,0.15,5,0.058886645445707694,0.04106776180698152,0.9589322381930184,30.743479251861572
colours,and,random2colours,True,0.06,0.15,5,0.058136479600224736,0.03285420944558522,0.9671457905544147,28.470061779022217
colours,and,random2colours,True,0.06,0.15,5,0.057675286447230176,0.028747433264887063,0.971252566735113,28.677051305770874
colours,and,random2colours,True,0.06,0.15,5,0.05749745863509645,0.04106776180698152,0.9589322381930184,28.544246435165405
colours,and,random2colours,True,0.06,0.15,5,0.05441750206432293,0.030800821355236138,0.9691991786447639,28.567341089248657
colours,and,random2colours,True,0.06,0.15,5,0.046703187776454574,0.03696098562628337,0.9630390143737166,28.539014101028442
colours,and,random2colours,True,0.06,0.15,5,0.059676649216346446,0.0513347022587269,0.9486652977412731,28.838430881500244
colours,and,random2colours,True,0.06,0.15,5,0.0568265324258599,0.030800821355236138,0.9691991786447639,28.48147964477539
colours,and,random2colours,True,0.06,0.15,5,0.05614647390753946,0.030800821355236138,0.9691991786447639,30.745445728302002
colours,and,random2colours,True,0.06,0.15,5,0.054492521565904534,0.049281314168377825,0.9507186858316222,28.457449197769165
colours,and,random2colours,True,0.06,0.95,5,0.058253516694177686,0.0338106124413428,0.9661893875586572,450.9501316547394
colours,and,random2colours,True,0.06,0.95,5,0.060897926509856815,0.03850318854530141,0.9614968114546986,426.68670439720154
colours,and,random2colours,True,0.06,0.95,5,0.04549304573120531,0.04187221754301528,0.9581277824569847,429.65204882621765
colours,and,random2colours,True,0.06,0.95,5,0.05333969715075759,0.03369028997713873,0.9663097100228613,438.1879162788391
colours,and,random2colours,True,0.06,0.95,5,0.0553231339937653,0.04427866682709662,0.9557213331729034,431.6467709541321
colours,and,random2colours,True,0.06,0.95,5,0.060092266424949185,0.032727710263506196,0.9672722897364938,423.2986762523651
colours,and,random2colours,True,0.06,0.95,5,0.05799985305100015,0.022379978341956444,0.9776200216580435,444.8169596195221
colours,and,random2colours,True,0.06,0.95,5,0.051877696692606855,0.04572253639754542,0.9542774636024546,426.6107294559479
colours,and,random2colours,True,0.06,0.95,5,0.05033433578400039,0.0370593189748526,0.9629406810251474,437.5864248275757
colours,and,random2colours,True,0.06,0.95,5,0.06580126994271668,0.033569967512934666,0.9664300324870654,436.3365933895111
colours,and,random2colours,True,0.03,0.095,5,0.05691808260929065,0.03165938864628821,0.9683406113537117,50.28720188140869
colours,and,random2colours,True,0.03,0.095,5,0.05062561815982559,0.03165938864628821,0.9683406113537117,50.429564476013184
colours,and,random2colours,True,0.03,0.095,5,0.049933708859191274,0.02947598253275109,0.9705240174672489,50.804434299468994
colours,and,random2colours,True,0.03,0.095,5,0.056334013996278604,0.05021834061135371,0.9497816593886463,51.59479475021362
colours,and,random2colours,True,0.03,0.095,5,0.04689746210907332,0.05786026200873363,0.9421397379912664,50.771066665649414
colours,and,random2colours,True,0.03,0.095,5,0.05588640409704873,0.03056768558951965,0.9694323144104804,50.727224349975586
colours,and,random2colours,True,0.03,0.095,5,0.05718680489659547,0.06331877729257641,0.9366812227074236,50.52060627937317
colours,and,random2colours,True,0.03,0.095,5,0.059789612689401486,0.04039301310043668,0.9596069868995634,52.60283541679382
colours,and,random2colours,True,0.03,0.095,5,0.055503593714012305,0.02947598253275109,0.9705240174672489,50.72883939743042
colours,and,random2colours,True,0.03,0.095,5,0.04621241682518978,0.039301310043668124,0.9606986899563319,50.44397473335266
colours,and,random2colours,True,0.03,0.15,5,0.056265444484471266,0.0328879753340185,0.9671120246659815,53.92164850234985
colours,and,random2colours,True,0.03,0.15,5,0.05370204027774292,0.030832476875642344,0.9691675231243576,53.59207820892334
colours,and,random2colours,True,0.03,0.15,5,0.043807771302946046,0.0421377183967112,0.9578622816032888,56.055026054382324
colours,and,random2colours,True,0.03,0.15,5,0.052961128117385195,0.03699897225077081,0.9630010277492291,55.01986289024353
colours,and,random2colours,True,0.03,0.15,5,0.05665367491766779,0.041109969167523124,0.9588900308324769,55.77789306640625
colours,and,random2colours,True,0.03,0.15,5,0.060893106276130766,0.02774922918807811,0.9722507708119219,56.96478986740112
