relationship,method,colourDistribution,static,l,r,maxExecsPS,result,p_acc,p_den,time
colours,numbers,random2colours,True,0.06,0.095,5,0.06773617414039394,1.0,0.0,26.603549003601074
colours,numbers,random2colours,True,0.06,0.095,5,0.06773617414039394,0.9956427015250545,0.004357298474945534,26.42510962486267
colours,numbers,random2colours,True,0.06,0.095,5,0.06773617414039394,0.9891067538126361,0.010893246187363835,27.126132488250732
colours,numbers,random2colours,True,0.06,0.095,5,0.06773617414039394,0.9956427015250545,0.004357298474945534,26.45953893661499
colours,numbers,random2colours,True,0.06,0.095,5,0.06773617414039394,0.9956427015250545,0.004357298474945534,27.290532112121582
colours,numbers,random2colours,True,0.06,0.095,5,0.06769985287181622,0.9978213507625272,0.002178649237472767,27.24428963661194
colours,numbers,random2colours,True,0.06,0.095,5,0.06773453818012969,0.9956427015250545,0.004357298474945534,26.648375749588013
colours,numbers,random2colours,True,0.06,0.095,5,0.06773617414039394,0.9956427015250545,0.004357298474945534,27.238142251968384
colours,numbers,random2colours,True,0.06,0.095,5,0.06595362443543437,0.9978213507625272,0.002178649237472767,26.453179836273193
colours,numbers,random2colours,True,0.06,0.095,5,0.06773617414039394,0.9956427015250545,0.004357298474945534,26.495665311813354
colours,numbers,random2colours,True,0.06,0.15,5,0.06773617414039394,0.9958932238193019,0.004106776180698152,29.056185007095337
colours,numbers,random2colours,True,0.06,0.15,5,0.06773617414039394,0.9917864476386037,0.008213552361396304,28.331804990768433
colours,numbers,random2colours,True,0.06,0.15,5,0.06724865349069209,0.9958932238193019,0.004106776180698152,28.816659212112427
colours,numbers,random2colours,True,0.06,0.15,5,0.06773617414039394,0.997946611909651,0.002053388090349076,28.435299158096313
colours,numbers,random2colours,True,0.06,0.15,5,0.06773617414039394,1.0,0.0,30.12217354774475
colours,numbers,random2colours,True,0.06,0.15,5,0.06773617414039394,0.9938398357289527,0.006160164271047228,29.036344528198242
colours,numbers,random2colours,True,0.06,0.15,5,0.06773617414039394,1.0,0.0,28.68235754966736
colours,numbers,random2colours,True,0.06,0.15,5,0.06505223591898807,1.0,0.0,29.145222902297974
colours,numbers,random2colours,True,0.06,0.15,5,0.06725329015139377,0.9958932238193019,0.004106776180698152,28.525768518447876
colours,numbers,random2colours,True,0.06,0.15,5,0.06773617414039394,0.9958932238193019,0.004106776180698152,28.3529851436615
colours,numbers,random2colours,True,0.06,0.95,5,0.06728110229599307,0.9985561304295512,0.0014438695704488027,435.30023074150085
colours,numbers,random2colours,True,0.06,0.95,5,0.06594791844991167,0.9977138731801227,0.002286126819877271,426.9633536338806
colours,numbers,random2colours,True,0.06,0.95,5,0.06773617414039394,0.9973529057875106,0.0026470942124894718,428.0526297092438
colours,numbers,random2colours,True,0.06,0.95,5,0.06698575102723667,0.996510648538082,0.00348935146191794,437.9194242954254
colours,numbers,random2colours,True,0.06,0.95,5,0.06773617414039394,0.9969919383948983,0.0030080616051016726,426.7958571910858
colours,numbers,random2colours,True,0.06,0.95,5,0.06751373006931007,0.9968716159306943,0.003128384069305739,428.3093559741974
colours,numbers,random2colours,True,0.06,0.95,5,0.06773617414039394,0.9968716159306943,0.003128384069305739,425.82901191711426
colours,numbers,random2colours,True,0.06,0.95,5,0.06773617414039394,0.9960293586812657,0.003970641318734208,425.473552942276
colours,numbers,random2colours,True,0.06,0.95,5,0.06773617414039394,0.9953074238960414,0.0046925761039586095,454.3192114830017
colours,numbers,random2colours,True,0.06,0.95,5,0.06741432495411723,0.9937432318613886,0.006256768138611478,434.9616997241974
colours,numbers,random2colours,True,0.03,0.095,5,0.06773617414039394,0.9978165938864629,0.002183406113537118,53.224684953689575
colours,numbers,random2colours,True,0.03,0.095,5,0.06773617414039394,0.9945414847161572,0.0054585152838427945,50.99758458137512
colours,numbers,random2colours,True,0.03,0.095,5,0.06773617414039394,0.9978165938864629,0.002183406113537118,51.66079020500183
colours,numbers,random2colours,True,0.03,0.095,5,0.06773617414039394,0.9978165938864629,0.002183406113537118,53.35455274581909
colours,numbers,random2colours,True,0.03,0.095,5,0.06773617414039394,0.9956331877729258,0.004366812227074236,50.67741012573242
colours,numbers,random2colours,True,0.03,0.095,5,0.06773617414039394,0.9956331877729258,0.004366812227074236,50.168031454086304
colours,numbers,random2colours,True,0.03,0.095,5,0.06773617414039394,0.9978165938864629,0.002183406113537118,50.484143018722534
colours,numbers,random2colours,True,0.03,0.095,5,0.06422792620998635,0.9934497816593887,0.006550218340611353,50.7831392288208
colours,numbers,random2colours,True,0.03,0.095,5,0.06773617414039394,0.9967248908296943,0.0032751091703056767,51.27794671058655
colours,numbers,random2colours,True,0.03,0.095,5,0.06773617414039394,0.9978165938864629,0.002183406113537118,50.38746166229248
colours,numbers,random2colours,True,0.03,0.15,5,0.06533689931393659,0.998972250770812,0.0010277492291880781,56.091524839401245
colours,numbers,random2colours,True,0.03,0.15,5,0.06773617414039394,0.998972250770812,0.0010277492291880781,56.90634727478027
colours,numbers,random2colours,True,0.03,0.15,5,0.06771177283879541,0.9958890030832477,0.0041109969167523125,55.63075518608093
