relationship,method,colourDistribution,static,l,r,maxExecsPS,result,p_acc,p_den,time
colours,or,4rectangles,True,0.06,0.095,5,0.06773617414039394,1.0,0.0,18.556407690048218
colours,or,4rectangles,True,0.06,0.095,5,0.067357713845859,1.0,0.0,18.541998386383057
colours,or,4rectangles,True,0.06,0.095,5,0.06773538795837987,1.0,0.0,18.696049690246582
colours,or,4rectangles,True,0.06,0.095,5,0.06773617414039394,1.0,0.0,18.720792293548584
colours,or,4rectangles,True,0.06,0.095,5,0.06773617414039394,1.0,0.0,18.565064668655396
colours,or,4rectangles,True,0.06,0.095,5,0.06773617414039394,1.0,0.0,18.591750621795654
colours,or,4rectangles,True,0.06,0.095,5,0.06773617414039394,1.0,0.0,18.556147813796997
colours,or,4rectangles,True,0.06,0.095,5,0.0635137859430155,1.0,0.0,18.56777548789978
colours,or,4rectangles,True,0.06,0.095,5,0.06773617414039394,1.0,0.0,18.670142889022827
colours,or,4rectangles,True,0.06,0.095,5,0.06728787407786686,1.0,0.0,18.548914194107056
colours,or,4rectangles,True,0.06,0.15,5,0.06773617414039394,1.0,0.0,20.11836552619934
colours,or,4rectangles,True,0.06,0.15,5,0.06773617414039394,1.0,0.0,19.718222618103027
colours,or,4rectangles,True,0.06,0.15,5,0.06773617414039394,1.0,0.0,19.863842964172363
colours,or,4rectangles,True,0.06,0.15,5,0.06773298626132371,1.0,0.0,19.86422061920166
colours,or,4rectangles,True,0.06,0.15,5,0.06757592452094596,1.0,0.0,20.134490728378296
colours,or,4rectangles,True,0.06,0.15,5,0.06773617414039394,1.0,0.0,19.976134777069092
colours,or,4rectangles,True,0.06,0.15,5,0.0676693379282548,1.0,0.0,19.855640411376953
colours,or,4rectangles,True,0.06,0.15,5,0.06773617414039394,1.0,0.0,19.855779886245728
colours,or,4rectangles,True,0.06,0.15,5,0.0676354109113093,1.0,0.0,19.851572036743164
colours,or,4rectangles,True,0.06,0.15,5,0.06773617414039394,1.0,0.0,20.106680393218994
colours,or,4rectangles,True,0.06,0.95,5,0.06773617414039394,1.0,0.0,294.782598733902
colours,or,4rectangles,True,0.06,0.95,5,0.06435890143090506,1.0,0.0,294.4692416191101
colours,or,4rectangles,True,0.06,0.95,5,0.06773617414039394,1.0,0.0,295.2261714935303
colours,or,4rectangles,True,0.06,0.95,5,0.06773617414039394,1.0,0.0,294.65810537338257
colours,or,4rectangles,True,0.06,0.95,5,0.06773617414039394,1.0,0.0,295.832439661026
colours,or,4rectangles,True,0.06,0.95,5,0.06773617414039394,1.0,0.0,296.07733035087585
colours,or,4rectangles,True,0.06,0.95,5,0.06773617414039394,1.0,0.0,294.44701385498047
colours,or,4rectangles,True,0.06,0.95,5,0.06773617414039394,1.0,0.0,294.50633668899536
colours,or,4rectangles,True,0.06,0.95,5,0.06773617414039394,1.0,0.0,295.6226143836975
colours,or,4rectangles,True,0.06,0.95,5,0.06773617414039394,1.0,0.0,294.0384485721588
colours,or,4rectangles,True,0.03,0.095,5,0.06773617414039394,1.0,0.0,35.85161066055298
colours,or,4rectangles,True,0.03,0.095,5,0.06773617414039394,1.0,0.0,35.67962884902954
colours,or,4rectangles,True,0.03,0.095,5,0.06744599107525182,1.0,0.0,35.707070112228394
colours,or,4rectangles,True,0.03,0.095,5,0.06773617414039394,1.0,0.0,35.860607862472534
colours,or,4rectangles,True,0.03,0.095,5,0.06750668550888472,1.0,0.0,35.76312232017517
colours,or,4rectangles,True,0.03,0.095,5,0.06773617414039394,1.0,0.0,35.8486168384552
colours,or,4rectangles,True,0.03,0.095,5,0.06773617414039394,1.0,0.0,35.592297077178955
colours,or,4rectangles,True,0.03,0.095,5,0.06773617414039394,1.0,0.0,35.65473246574402
colours,or,4rectangles,True,0.03,0.095,5,0.06773617414039394,1.0,0.0,35.58614945411682
colours,or,4rectangles,True,0.03,0.095,5,0.06773362984120086,1.0,0.0,35.551472425460815
colours,or,4rectangles,True,0.03,0.15,5,0.06773617414039394,1.0,0.0,40.230149269104004
colours,or,4rectangles,True,0.03,0.15,5,0.06769681891276257,1.0,0.0,40.26958870887756
colours,or,4rectangles,True,0.03,0.15,5,0.06773617414039394,1.0,0.0,40.590776443481445
colours,or,4rectangles,True,0.03,0.15,5,0.06773617414039394,1.0,0.0,39.62114930152893
colours,or,4rectangles,True,0.03,0.15,5,0.06773617414039394,1.0,0.0,39.47299814224243
colours,or,4rectangles,True,0.03,0.15,5,0.06773617414039394,1.0,0.0,39.78274869918823
colours,or,4rectangles,True,0.03,0.15,5,0.0665759335295007,1.0,0.0,40.071465492248535
colours,or,4rectangles,True,0.03,0.15,5,0.06665687474246303,1.0,0.0,40.066587924957275
colours,or,4rectangles,True,0.03,0.15,5,0.06773617414039394,1.0,0.0,40.13162422180176
colours,or,4rectangles,True,0.03,0.15,5,0.06661089958213105,1.0,0.0,39.85678005218506
