relationship,method,colourDistribution,static,l,r,maxExecsPS,result,p_acc,p_den,time
groups,numbers,,True,0.06,0.095,5,0.04996592930247106,0.1394335511982571,0.8605664488017429,14.140971422195435
groups,numbers,,True,0.06,0.095,5,0.0471816305721403,0.19607843137254902,0.803921568627451,14.328575611114502
groups,numbers,,True,0.06,0.095,5,0.04449176814318934,0.22004357298474944,0.7799564270152506,14.405663967132568
groups,numbers,,True,0.06,0.095,5,0.04427684221410059,0.18736383442265794,0.8126361655773421,14.475239276885986
groups,numbers,,True,0.06,0.095,5,0.05152154069386206,0.19389978213507625,0.8061002178649237,14.308712005615234
groups,numbers,,True,0.06,0.095,5,0.06293128811786562,0.27233115468409586,0.7276688453159041,14.329458236694336
groups,numbers,,True,0.06,0.095,5,0.047785190393647946,0.21568627450980393,0.7843137254901961,14.276456356048584
groups,numbers,,True,0.06,0.095,5,0.045566031297691406,0.20915032679738563,0.7908496732026143,14.514608144760132
groups,numbers,,True,0.06,0.095,5,0.053499150922559274,0.20043572984749455,0.7995642701525054,14.271362781524658
groups,numbers,,True,0.06,0.095,5,0.045170871282819366,0.1786492374727669,0.8213507625272332,14.485447406768799
groups,numbers,,True,0.06,0.15,5,0.046371153649727534,0.21149897330595482,0.7885010266940452,16.000025987625122
groups,numbers,,True,0.06,0.15,5,0.05331515186387272,0.20739219712525667,0.7926078028747433,15.86767292022705
groups,numbers,,True,0.06,0.15,5,0.04564805804938562,0.2402464065708419,0.7597535934291582,15.934066534042358
groups,numbers,,True,0.06,0.15,5,0.05121916278229741,0.22587268993839835,0.7741273100616016,15.919841766357422
groups,numbers,,True,0.06,0.15,5,0.047109180275644695,0.19301848049281314,0.8069815195071869,15.914266109466553
groups,numbers,,True,0.06,0.15,5,0.051181783499699034,0.1806981519507187,0.8193018480492813,15.915094375610352
groups,numbers,,True,0.06,0.15,5,0.05165706499094717,0.23408624229979466,0.7659137577002053,15.82506275177002
groups,numbers,,True,0.06,0.15,5,0.0456682745896141,0.2032854209445585,0.7967145790554415,16.01621103286743
groups,numbers,,True,0.06,0.15,5,0.049127241142678406,0.21971252566735114,0.7802874743326489,15.901689529418945
groups,numbers,,True,0.06,0.15,5,0.05666813113200815,0.2464065708418891,0.7535934291581109,15.833701372146606
groups,numbers,,True,0.06,0.95,5,0.03941717001812421,0.20370593189748526,0.7962940681025147,228.05662322044373
groups,numbers,,True,0.06,0.95,5,0.0400086508866844,0.21273011671279027,0.7872698832872097,226.9069561958313
groups,numbers,,True,0.06,0.95,5,0.03951917570445972,0.22187462399229937,0.7781253760077006,225.9220802783966
groups,numbers,,True,0.06,0.95,5,0.04229581376722385,0.24088557333654192,0.7591144266634581,226.66214275360107
groups,numbers,,True,0.06,0.95,5,0.03786084452966241,0.22849235952352304,0.7715076404764769,228.34009051322937
groups,numbers,,True,0.06,0.95,5,0.0405084590339423,0.22740945734568643,0.7725905426543136,226.148499250412
groups,numbers,,True,0.06,0.95,5,0.037858560511542405,0.19756948622307785,0.8024305137769222,227.35455012321472
groups,numbers,,True,0.06,0.95,5,0.0383206806425909,0.21441463121164722,0.7855853687883528,227.63051676750183
groups,numbers,,True,0.06,0.95,5,0.040295911274654234,0.20887979785826014,0.7911202021417398,225.99126958847046
groups,numbers,,True,0.06,0.95,5,0.0403415321515161,0.20442786668270965,0.7955721333172904,226.97404384613037
groups,numbers,,True,0.03,0.095,5,0.05418201622919195,0.18777292576419213,0.8122270742358079,27.946220636367798
groups,numbers,,True,0.03,0.095,5,0.04917054946015049,0.21615720524017468,0.7838427947598253,27.99703884124756
groups,numbers,,True,0.03,0.095,5,0.04741370296210797,0.18995633187772926,0.8100436681222707,27.91104793548584
groups,numbers,,True,0.03,0.095,5,0.046486508062747095,0.18231441048034935,0.8176855895196506,28.205478191375732
groups,numbers,,True,0.03,0.095,5,0.04069835752953256,0.18668122270742357,0.8133187772925764,28.316330432891846
groups,numbers,,True,0.03,0.095,5,0.057443552914892004,0.20414847161572053,0.7958515283842795,28.255494117736816
groups,numbers,,True,0.03,0.095,5,0.03692259041448467,0.17467248908296942,0.8253275109170306,28.12494206428528
groups,numbers,,True,0.03,0.095,5,0.053013128622151885,0.22379912663755458,0.7762008733624454,28.03174591064453
groups,numbers,,True,0.03,0.095,5,0.04546334304660825,0.2368995633187773,0.7631004366812227,27.90665102005005
groups,numbers,,True,0.03,0.095,5,0.04700684676929677,0.19541484716157206,0.8045851528384279,28.415608406066895
groups,numbers,,True,0.03,0.15,5,0.04100880769300504,0.2250770811921891,0.774922918807811,30.161040782928467
groups,numbers,,True,0.03,0.15,5,0.04602571185418181,0.17677286742034942,0.8232271325796505,30.32784867286682
groups,numbers,,True,0.03,0.15,5,0.04158870924937979,0.20246659815005139,0.7975334018499486,30.257916688919067
groups,numbers,,True,0.03,0.15,5,0.04994492999868775,0.22404933196300103,0.775950668036999,30.180676221847534
groups,numbers,,True,0.03,0.15,5,0.04479254225356009,0.1932168550873587,0.8067831449126414,30.38777208328247
groups,numbers,,True,0.03,0.15,5,0.04713060242222897,0.19527235354573483,0.8047276464542652,30.436492443084717
groups,numbers,,True,0.03,0.15,5,0.04916977982886758,0.20554984583761562,0.7944501541623844,30.313312292099
groups,numbers,,True,0.03,0.15,5,0.04791551743450767,0.17985611510791366,0.8201438848920863,30.309147357940674
groups,numbers,,True,0.03,0.15,5,0.03997169457429311,0.2014388489208633,0.7985611510791367,30.48479986190796
groups,numbers,,True,0.03,0.15,5,0.04391094725282734,0.19116135662898254,0.8088386433710175,30.271172046661377
