relationship,method,colourDistribution,static,l,r,maxExecsPS,result,p_acc,p_den,time
groups,or,,True,0.06,0.095,5,0.06565929432899212,0.8867102396514162,0.11328976034858387,13.917640686035156
groups,or,,True,0.06,0.095,5,0.06773617414039394,0.9172113289760349,0.08278867102396514,13.911558151245117
groups,or,,True,0.06,0.095,5,0.06773617414039394,0.8888888888888888,0.1111111111111111,13.879535913467407
groups,or,,True,0.06,0.095,5,0.06624836019211035,0.8779956427015251,0.12200435729847495,13.732785940170288
groups,or,,True,0.06,0.095,5,0.06592697539331506,0.8714596949891068,0.12854030501089325,13.932880640029907
groups,or,,True,0.06,0.095,5,0.06773617414039394,0.8801742919389978,0.11982570806100218,13.827385902404785
groups,or,,True,0.06,0.095,5,0.06719027500090788,0.8714596949891068,0.12854030501089325,13.775024652481079
groups,or,,True,0.06,0.095,5,0.06773617414039394,0.8976034858387799,0.10239651416122005,13.91447901725769
groups,or,,True,0.06,0.095,5,0.06674071814693001,0.8736383442265795,0.12636165577342048,14.054746866226196
groups,or,,True,0.06,0.095,5,0.06773617414039394,0.8867102396514162,0.11328976034858387,13.876540660858154
groups,or,,True,0.06,0.15,5,0.06735171528266509,0.8850102669404517,0.11498973305954825,14.997276306152344
groups,or,,True,0.06,0.15,5,0.06773617414039394,0.9137577002053389,0.08624229979466119,15.054014205932617
groups,or,,True,0.06,0.15,5,0.06773617414039394,0.8501026694045175,0.14989733059548255,14.990581512451172
groups,or,,True,0.06,0.15,5,0.06773617414039394,0.9117043121149897,0.08829568788501027,14.93323040008545
groups,or,,True,0.06,0.15,5,0.06773617414039394,0.9055441478439425,0.0944558521560575,14.921519994735718
groups,or,,True,0.06,0.15,5,0.06410857711930071,0.9075975359342916,0.09240246406570841,14.76740312576294
groups,or,,True,0.06,0.15,5,0.06736378990885986,0.8788501026694046,0.12114989733059549,15.04286527633667
groups,or,,True,0.06,0.15,5,0.06773617414039394,0.8973305954825462,0.1026694045174538,15.05450701713562
groups,or,,True,0.06,0.15,5,0.06773617414039394,0.9014373716632443,0.09856262833675565,14.929265975952148
groups,or,,True,0.06,0.15,5,0.06773617414039394,0.8993839835728953,0.10061601642710473,14.896504163742065
groups,or,,True,0.06,0.95,5,0.06718616849619109,0.9074720250270726,0.09252797497292745,221.89846277236938
groups,or,,True,0.06,0.95,5,0.06773617414039394,0.9039826735651546,0.09601732643484538,224.3196201324463
groups,or,,True,0.06,0.95,5,0.06635007000916851,0.9098784743111539,0.09012152568884611,221.87520384788513
groups,or,,True,0.06,0.95,5,0.0677313782900273,0.8949584887498496,0.1050415112501504,221.23951601982117
groups,or,,True,0.06,0.95,5,0.06726043060634222,0.9072313800986644,0.09276861990133559,220.90536999702454
groups,or,,True,0.06,0.95,5,0.06773617414039394,0.9077126699554807,0.0922873300445193,221.1377010345459
groups,or,,True,0.06,0.95,5,0.06773617414039394,0.908193959812297,0.09180604018770304,221.34647583961487
groups,or,,True,0.06,0.95,5,0.06773617414039394,0.8983275177475635,0.10167248225243652,220.88163661956787
groups,or,,True,0.06,0.95,5,0.06773617414039394,0.9140897605582963,0.08591023944170377,220.7082657814026
groups,or,,True,0.06,0.95,5,0.06773617414039394,0.9072313800986644,0.09276861990133559,221.32019925117493
groups,or,,True,0.03,0.095,5,0.06680640253838745,0.8766375545851528,0.12336244541484716,27.546699047088623
groups,or,,True,0.03,0.095,5,0.06773617414039394,0.8908296943231441,0.1091703056768559,27.414705753326416
groups,or,,True,0.03,0.095,5,0.06773617414039394,0.888646288209607,0.11135371179039301,27.195822954177856
groups,or,,True,0.03,0.095,5,0.06773617414039394,0.8962882096069869,0.1037117903930131,27.21318817138672
groups,or,,True,0.03,0.095,5,0.06765896622004891,0.8951965065502183,0.10480349344978165,27.212589025497437
groups,or,,True,0.03,0.095,5,0.06748209948859751,0.8897379912663755,0.11026200873362445,27.33719038963318
groups,or,,True,0.03,0.095,5,0.0673516956067933,0.9072052401746725,0.0927947598253275,27.46697497367859
groups,or,,True,0.03,0.095,5,0.06773617414039394,0.8842794759825328,0.11572052401746726,27.281186819076538
groups,or,,True,0.03,0.095,5,0.06773617414039394,0.881004366812227,0.11899563318777293,27.254733085632324
groups,or,,True,0.03,0.095,5,0.06773617414039394,0.8864628820960698,0.11353711790393013,27.27347421646118
groups,or,,True,0.03,0.15,5,0.06773617414039394,0.8766700924974307,0.12332990750256938,29.37115454673767
groups,or,,True,0.03,0.15,5,0.06773617414039394,0.8735868448098664,0.1264131551901336,29.292333126068115
groups,or,,True,0.03,0.15,5,0.06773617414039394,0.9013360739979445,0.0986639260020555,29.29254722595215
groups,or,,True,0.03,0.15,5,0.0649660260321834,0.8900308324768756,0.10996916752312436,29.518506288528442
groups,or,,True,0.03,0.15,5,0.06773617414039394,0.9064748201438849,0.09352517985611511,29.297178268432617
groups,or,,True,0.03,0.15,5,0.06703177241249786,0.8982528263103803,0.10174717368961973,29.30800724029541
groups,or,,True,0.03,0.15,5,0.06773617414039394,0.8756423432682425,0.12435765673175746,29.532691717147827
groups,or,,True,0.03,0.15,5,0.06704905070730202,0.8910585817060637,0.10894141829393628,29.265393257141113
groups,or,,True,0.03,0.15,5,0.06763401293463345,0.9198355601233299,0.08016443987667009,29.373199939727783
groups,or,,True,0.03,0.15,5,0.06039317483631591,0.8910585817060637,0.10894141829393628,29.431572198867798
