relationship,method,colourDistribution,static,l,r,maxExecsPS,result,p_acc,p_den,time
peers,and,,True,0.06,0.095,5,0.05742382538889137,0.09368191721132897,0.906318082788671,12.78250527381897
peers,and,,True,0.06,0.095,5,0.05296144651094216,0.07625272331154684,0.9237472766884531,13.020618915557861
peers,and,,True,0.06,0.095,5,0.05672250598005588,0.09586056644880174,0.9041394335511983,13.477173328399658
peers,and,,True,0.06,0.095,5,0.06132599879033281,0.08714596949891068,0.9128540305010894,12.778880596160889
peers,and,,True,0.06,0.095,5,0.0601662185386232,0.08932461873638345,0.9106753812636166,13.283929824829102
peers,and,,True,0.06,0.095,5,0.05943579323563085,0.09368191721132897,0.906318082788671,13.677017211914062
peers,and,,True,0.06,0.095,5,0.05322776507185399,0.07407407407407407,0.9259259259259259,14.497926950454712
peers,and,,True,0.06,0.095,5,0.055559033805950855,0.0784313725490196,0.9215686274509803,13.194989442825317
peers,and,,True,0.06,0.095,5,0.04876698905130768,0.09368191721132897,0.906318082788671,13.098477840423584
peers,and,,True,0.06,0.095,5,0.05379811194943892,0.09368191721132897,0.906318082788671,13.426812648773193
peers,and,,True,0.06,0.15,5,0.05497315888189589,0.08213552361396304,0.917864476386037,13.630228281021118
peers,and,,True,0.06,0.15,5,0.044164596703190256,0.09034907597535935,0.9096509240246407,13.35664963722229
peers,and,,True,0.06,0.15,5,0.0504232962632807,0.07186858316221766,0.9281314168377823,13.311260461807251
peers,and,,True,0.06,0.15,5,0.06127392109416095,0.08624229979466119,0.9137577002053389,13.302370548248291
peers,and,,True,0.06,0.15,5,0.04524549318963096,0.08418891170431211,0.9158110882956879,13.476336479187012
peers,and,,True,0.06,0.15,5,0.05590992530473804,0.06776180698151951,0.9322381930184805,13.341557502746582
peers,and,,True,0.06,0.15,5,0.046021434592231264,0.10061601642710473,0.8993839835728953,13.560213327407837
peers,and,,True,0.06,0.15,5,0.04600814328691062,0.07597535934291581,0.9240246406570842,13.467828512191772
peers,and,,True,0.06,0.15,5,0.049021989634053104,0.09240246406570841,0.9075975359342916,13.363311767578125
peers,and,,True,0.06,0.15,5,0.047592697255284554,0.07597535934291581,0.9240246406570842,13.428963422775269
peers,and,,True,0.06,0.95,5,0.04038011363126206,0.08386475755023463,0.9161352424497654,206.78227543830872
peers,and,,True,0.06,0.95,5,0.041534008966264746,0.09565635904223319,0.9043436409577669,206.4230182170868
peers,and,,True,0.06,0.95,5,0.041620299123619586,0.10528215617855853,0.8947178438214415,202.8164520263672
peers,and,,True,0.06,0.95,5,0.04407523448800972,0.09252797497292745,0.9074720250270726,206.79441857337952
peers,and,,True,0.06,0.95,5,0.04716203002387472,0.09613764889904945,0.9038623511009506,205.3550271987915
peers,and,,True,0.06,0.95,5,0.04656979101879913,0.08747443147635664,0.9125255685236434,209.03014731407166
peers,and,,True,0.06,0.95,5,0.042835078460220236,0.09252797497292745,0.9074720250270726,206.48579859733582
peers,and,,True,0.06,0.95,5,0.042600266508752,0.09553603657802912,0.9044639634219709,206.86795330047607
peers,and,,True,0.06,0.95,5,0.03911751619970913,0.08627120683431597,0.913728793165684,206.37821626663208
peers,and,,True,0.06,0.95,5,0.03902103895818156,0.08903862351100951,0.9109613764889904,206.45491099357605
peers,and,,True,0.03,0.095,5,0.05221615895556852,0.07860262008733625,0.9213973799126638,24.41515803337097
peers,and,,True,0.03,0.095,5,0.04996867633931546,0.0611353711790393,0.9388646288209607,24.304986000061035
peers,and,,True,0.03,0.095,5,0.04846847581491922,0.08406113537117904,0.915938864628821,24.16432762145996
peers,and,,True,0.03,0.095,5,0.049469455469274615,0.07314410480349345,0.9268558951965066,24.636500358581543
peers,and,,True,0.03,0.095,5,0.050116297375611935,0.08406113537117904,0.915938864628821,24.19981050491333
peers,and,,True,0.03,0.095,5,0.059220649798107275,0.08624454148471616,0.9137554585152838,24.131800651550293
peers,and,,True,0.03,0.095,5,0.04478577213682673,0.09606986899563319,0.9039301310043668,24.175933599472046
peers,and,,True,0.03,0.095,5,0.05311647676198688,0.06331877729257641,0.9366812227074236,24.32741355895996
peers,and,,True,0.03,0.095,5,0.053621947127801765,0.1091703056768559,0.8908296943231441,24.283326148986816
peers,and,,True,0.03,0.095,5,0.052538331559862615,0.07969432314410481,0.9203056768558951,24.29922866821289
peers,and,,True,0.03,0.15,5,0.04930792621867091,0.06269270298047276,0.9373072970195272,26.27828812599182
peers,and,,True,0.03,0.15,5,0.047343544975439654,0.05755395683453238,0.9424460431654677,26.535876989364624
peers,and,,True,0.03,0.15,5,0.05486672421641899,0.07399794450154162,0.9260020554984584,26.20968985557556
peers,and,,True,0.03,0.15,5,0.056499265749752905,0.08530318602261049,0.9146968139773896,26.357860565185547
peers,and,,True,0.03,0.15,5,0.05572896056287594,0.08735868448098665,0.9126413155190134,26.30192232131958
peers,and,,True,0.03,0.15,5,0.05287775695085305,0.08633093525179857,0.9136690647482014,26.383586883544922
peers,and,,True,0.03,0.15,5,0.0500766338762255,0.08735868448098665,0.9126413155190134,26.506139278411865
peers,and,,True,0.03,0.15,5,0.050882739231815764,0.09044193216855087,0.9095580678314491,26.541994333267212
peers,and,,True,0.03,0.15,5,0.05541617820217301,0.0698869475847893,0.9301130524152107,26.515483856201172
peers,and,,True,0.03,0.15,5,0.04842460214772573,0.07810894141829394,0.9218910585817061,26.18668222427368
