relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time,tempC0,tempC1,tempC2,tempC3,tempC4,tempC5

peers,numbers,,True,0.06,0.095,5,0.04270706601048674,116.00900387763977,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.04425402195337028,112.83916926383972,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.04692374575754173,113.66916394233704,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.0402867756318059,113.60648775100708,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.046761544455515586,113.942058801651,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.054478252601019246,111.46600723266602,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.04660188092212692,115.59924626350403,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.04884116407641852,114.40065455436707,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.05646884806328853,112.6242082118988,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.05636422326871883,114.07855176925659,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.046585871057958916,107.47951555252075,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.044951454558152124,110.96009755134583,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.04612719189840427,114.21171879768372,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.044052871648404414,220.54362535476685,/,/,/,/,/,/
peers,numbers,,True,0.06,0.095,5,0.04279659348958935,196.5190978050232,/,/,/,/,/,/
