relationship,method,colourDistribution,static,l,r,maxExecsPS,result,p_acc,p_den,time
peers,or,,True,0.06,0.095,5,0.06495375381013277,0.47058823529411764,0.5294117647058824,13.223582983016968
peers,or,,True,0.06,0.095,5,0.06432762567573069,0.5010893246187363,0.4989106753812636,12.898943901062012
peers,or,,True,0.06,0.095,5,0.05991397113823798,0.4596949891067538,0.5403050108932462,13.492474794387817
peers,or,,True,0.06,0.095,5,0.055819484567514094,0.47276688453159044,0.5272331154684096,13.259133338928223
peers,or,,True,0.06,0.095,5,0.06598329389904917,0.4596949891067538,0.5403050108932462,13.188857555389404
peers,or,,True,0.06,0.095,5,0.06622491617987987,0.4596949891067538,0.5403050108932462,12.452120065689087
peers,or,,True,0.06,0.095,5,0.05860137929084574,0.420479302832244,0.579520697167756,13.261002540588379
peers,or,,True,0.06,0.095,5,0.066397257187838,0.477124183006536,0.5228758169934641,14.146621704101562
peers,or,,True,0.06,0.095,5,0.06395340542773101,0.4444444444444444,0.5555555555555556,12.824231386184692
peers,or,,True,0.06,0.095,5,0.06438384646945594,0.485838779956427,0.514161220043573,12.792141675949097
peers,or,,True,0.06,0.15,5,0.06762086854782103,0.4928131416837782,0.5071868583162218,13.207375526428223
peers,or,,True,0.06,0.15,5,0.0642189005898153,0.4887063655030801,0.5112936344969199,13.235461950302124
peers,or,,True,0.06,0.15,5,0.0674413905046084,0.4722792607802875,0.5277207392197125,13.188507556915283
peers,or,,True,0.06,0.15,5,0.060447827470854365,0.4517453798767967,0.5482546201232033,13.211726188659668
peers,or,,True,0.06,0.15,5,0.06235537499345256,0.5051334702258727,0.4948665297741273,13.237266302108765
peers,or,,True,0.06,0.15,5,0.0655493759749321,0.4928131416837782,0.5071868583162218,13.239972829818726
peers,or,,True,0.06,0.15,5,0.06434038389749984,0.486652977412731,0.5133470225872689,13.19958233833313
peers,or,,True,0.06,0.15,5,0.058820864998637,0.3798767967145791,0.6201232032854209,13.298995733261108
peers,or,,True,0.06,0.15,5,0.06601624368905455,0.5010266940451745,0.4989733059548255,13.128363847732544
peers,or,,True,0.06,0.15,5,0.06118812188427259,0.45790554414784396,0.5420944558521561,13.206864833831787
peers,or,,True,0.06,0.95,5,0.0511531086219204,0.48116953435206355,0.5188304656479364,202.48552250862122
peers,or,,True,0.06,0.95,5,0.05128311968630181,0.45794729876067863,0.5420527012393214,203.51205945014954
peers,or,,True,0.06,0.95,5,0.05626608282775002,0.48128985681626757,0.5187101431837324,202.8779594898224
peers,or,,True,0.06,0.95,5,0.04973872818342584,0.45710504151125014,0.5428949584887498,203.27815914154053
peers,or,,True,0.06,0.95,5,0.05670174348823551,0.5057153170496932,0.4942846829503068,201.95032405853271
peers,or,,True,0.06,0.95,5,0.05700481479678566,0.4643243893634942,0.5356756106365058,202.25449538230896
peers,or,,True,0.06,0.95,5,0.056034114798002715,0.46901696546745275,0.5309830345325472,203.59459114074707
peers,or,,True,0.06,0.95,5,0.053017047719350535,0.47382986403561544,0.5261701359643846,203.34153056144714
peers,or,,True,0.06,0.95,5,0.053161902971206695,0.45445794729876066,0.5455420527012393,203.36173748970032
peers,or,,True,0.06,0.95,5,0.05418532764762787,0.47960534231741064,0.5203946576825893,203.20209074020386
peers,or,,True,0.03,0.095,5,0.06077848257052902,0.49344978165938863,0.5065502183406113,24.084437608718872
peers,or,,True,0.03,0.095,5,0.0643429865301599,0.50764192139738,0.4923580786026201,23.924745082855225
peers,or,,True,0.03,0.095,5,0.057147209462332614,0.4519650655021834,0.5480349344978166,23.970930814743042
peers,or,,True,0.03,0.095,5,0.05840434500044952,0.425764192139738,0.574235807860262,24.156779050827026
peers,or,,True,0.03,0.095,5,0.060272762588222215,0.4585152838427948,0.5414847161572053,24.16945195198059
peers,or,,True,0.03,0.095,5,0.05461337268853529,0.41375545851528384,0.5862445414847162,24.173301458358765
peers,or,,True,0.03,0.095,5,0.053298993186309415,0.4596069868995633,0.5403930131004366,24.07331609725952
peers,or,,True,0.03,0.095,5,0.05873833980986998,0.4705240174672489,0.5294759825327511,24.090901374816895
peers,or,,True,0.03,0.095,5,0.06533025929373712,0.4705240174672489,0.5294759825327511,23.88282608985901
peers,or,,True,0.03,0.095,5,0.06053567784052678,0.4465065502183406,0.5534934497816594,24.111364126205444
peers,or,,True,0.03,0.15,5,0.06356940657756738,0.46557040082219936,0.5344295991778006,25.89445400238037
peers,or,,True,0.03,0.15,5,0.05615412262766258,0.47687564234326824,0.5231243576567317,26.039574146270752
peers,or,,True,0.03,0.15,5,0.060848236943000907,0.473792394655704,0.526207605344296,26.131580591201782
peers,or,,True,0.03,0.15,5,0.06319867547387732,0.43371017471736895,0.566289825282631,26.193301677703857
peers,or,,True,0.03,0.15,5,0.0532914912608061,0.46659815005138744,0.5334018499486125,26.004836559295654
peers,or,,True,0.03,0.15,5,0.06561842541439349,0.4563206577595067,0.5436793422404933,25.96982765197754
peers,or,,True,0.03,0.15,5,0.06302609246455036,0.460431654676259,0.539568345323741,26.05540633201599
peers,or,,True,0.03,0.15,5,0.06621091700702467,0.5056526207605344,0.4943473792394656,26.009199380874634
peers,or,,True,0.03,0.15,5,0.06522396128839046,0.49023638232271327,0.5097636176772867,25.88416838645935
peers,or,,True,0.03,0.15,5,0.05784695191217071,0.4552929085303186,0.5447070914696814,26.173672199249268
