relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time,tempC0,tempC1,tempC2,tempC3,tempC4,tempC5
groups,or,,True,0.06,0.095,1,0.15859054844705378,742.1183304786682,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15397209718148208,761.7662284374237,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15192178299297446,754.2451314926147,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15874239490557965,745.5325448513031,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.16902784016162323,738.2576608657837,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15867097771586575,747.9368801116943,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15509063858982922,731.66872382164,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.16171104429305783,728.5647201538086,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15452445207334647,736.7066912651062,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1560181484454608,730.3507266044617,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1615392291195434,732.383273601532,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15258705144880425,724.9340250492096,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.14982308777511982,757.6632883548737,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1631284881232293,729.1030492782593,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.14926442273947085,726.1332459449768,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15345947083720113,730.8878962993622,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1503836296668104,731.4463245868683,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.16065716446458925,735.3322644233704,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.14592637205954262,737.3186376094818,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1480370877879385,732.8794786930084,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15922939502623412,729.9237382411957,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15648236510327457,719.1151692867279,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15415545472964085,742.8318536281586,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15308940447452582,736.3468058109283,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1563533835237466,726.2579052448273,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.16367145602444988,729.4155223369598,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15049088721282688,729.7324826717377,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15048261873802918,727.5798239707947,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.14685608277413295,728.2095494270325,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15647402664227197,731.4917967319489,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1601208261989485,733.987062215805,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15645139467923802,722.4608681201935,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1528893352448506,722.5824112892151,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15033307753014097,716.9617853164673,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15564249478962824,727.7736129760742,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15391787486228875,728.409574508667,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.16054355422200087,737.0288515090942,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1645225210080554,720.7928924560547,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1616849516646127,722.1985530853271,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.161601212492919,731.8791434764862,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.14829790192905615,719.0351865291595,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15537094754470626,726.3110682964325,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15397218394345938,725.0293889045715,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15985156729606506,713.7024312019348,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.16023205731353793,731.3932752609253,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1543315760104255,743.7075974941254,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.14589481383132735,728.7839126586914,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15488899100704173,721.8690867424011,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15165318553809076,731.3844907283783,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15748745036536219,735.7483551502228,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15982490486236442,734.988311290741,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15324827007675174,753.2589778900146,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.14987720983050046,727.3800773620605,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15480378124734728,740.2173390388489,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1535816877142357,734.5150463581085,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15168572953555726,731.2665071487427,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15845424065210276,732.2703413963318,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.16293058489580287,723.7330305576324,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15579686091133738,732.2075309753418,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1603064481962978,723.5328736305237,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15391186500454598,730.6432733535767,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1473494059513961,726.127599477768,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1488328690349371,726.8724975585938,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.14974923816461314,731.982029914856,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.14857494425294288,730.0222582817078,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15507912737378057,718.0083220005035,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15338518525958714,720.0529668331146,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.156717492390889,724.7470831871033,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15927797021007667,733.0212259292603,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15213314994292665,731.234043598175,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15513678342625903,740.1592676639557,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.14584308360560472,729.6670279502869,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15599431767295024,738.2018914222717,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1540433280633175,739.4422051906586,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1427450847085879,731.600282907486,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15494067370273681,734.2999095916748,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15433333774576485,739.476398229599,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1537619296592009,726.3544616699219,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15943299108159328,723.5527851581573,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15944511324454666,723.2969624996185,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1496602342874388,729.74329829216,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.1570023725628939,733.5674185752869,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15887418441755086,741.2163686752319,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15109126843435958,733.5822927951813,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.15466013131144657,727.7198145389557,/,/,/,/,/,/
groups,or,,True,0.06,0.095,1,0.16367671473448964,730.5489523410797,/,/,/,/,/,/
