relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time,tempC0,tempC1,tempC2,tempC3,tempC4,tempC5
peers,numbers,,True,0.06,0.095,1,0.04881450365895366,545.352046251297,46.0,44.0,57.0,45.0,45.0,44.0
peers,numbers,,True,0.06,0.095,1,0.047941927237354395,538.9858820438385,46.0,46.0,44.0,57.0,44.0,45.0
peers,numbers,,True,0.06,0.095,1,0.045634486542463853,581.4038181304932,75.0,74.0,77.0,76.0,74.0,75.0
peers,numbers,,True,0.06,0.095,1,0.050738531861251136,603.2235565185547,69.0,78.0,79.0,75.0,77.0,74.0
peers,numbers,,True,0.06,0.095,1,0.047322320394286556,569.6387214660645,78.0,76.0,78.0,78.0,76.0,78.0
peers,numbers,,True,0.06,0.095,1,0.05090786631929923,600.265508890152,79.0,81.0,80.0,76.0,77.0,75.0
peers,numbers,,True,0.06,0.095,1,0.04503921870221585,582.7781784534454,76.0,75.0,78.0,77.0,76.0,76.0
peers,numbers,,True,0.06,0.095,1,0.046949701834533446,597.3258798122406,79.0,79.0,80.0,78.0,78.0,75.0
peers,numbers,,True,0.06,0.095,1,0.03684713765637383,586.3304340839386,76.0,78.0,78.0,77.0,79.0,76.0
peers,numbers,,True,0.06,0.095,1,0.04701433199049754,611.2332158088684,75.0,81.0,79.0,80.0,79.0,79.0
peers,numbers,,True,0.06,0.095,1,0.04814992268940015,584.5067367553711,78.0,78.0,79.0,77.0,80.0,77.0
peers,numbers,,True,0.06,0.095,1,0.049276367742129325,590.6905872821808,76.0,80.0,79.0,81.0,77.0,79.0
peers,numbers,,True,0.06,0.095,1,0.04971137642453555,575.4448747634888,77.0,77.0,78.0,77.0,78.0,77.0
peers,numbers,,True,0.06,0.095,1,0.04456851318625812,593.3985729217529,76.0,80.0,77.0,81.0,78.0,78.0
peers,numbers,,True,0.06,0.095,1,0.049891220387368325,593.241712808609,77.0,77.0,78.0,76.0,79.0,75.0
