relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time,tempC0,tempC1,tempC2,tempC3,tempC4,tempC5
peers,or,,True,0.06,0.095,1,0.09947619960230748,596.9037344455719,77.0,78.0,77.0,76.0,73.0,75.0
peers,or,,True,0.06,0.095,1,0.10016405034780355,587.330632686615,77.0,78.0,75.0,76.0,76.0,76.0
peers,or,,True,0.06,0.095,1,0.10289239667927277,589.381475687027,79.0,80.0,77.0,78.0,77.0,78.0
peers,or,,True,0.06,0.095,1,0.08523258537886215,597.8823087215424,79.0,77.0,80.0,79.0,75.0,77.0
peers,or,,True,0.06,0.095,1,0.09760282011933709,586.9234747886658,78.0,80.0,77.0,78.0,77.0,76.0
peers,or,,True,0.06,0.095,1,0.09561321465838118,586.6978509426117,77.0,79.0,80.0,79.0,75.0,77.0
peers,or,,True,0.06,0.095,1,0.0911792713077735,587.4075720310211,77.0,77.0,79.0,80.0,79.0,78.0
peers,or,,True,0.06,0.095,1,0.09421329900277708,596.970810174942,77.0,80.0,79.0,79.0,79.0,76.0
peers,or,,True,0.06,0.095,1,0.08861896028012992,573.4662437438965,75.0,77.0,78.0,80.0,79.0,77.0
peers,or,,True,0.06,0.095,1,0.08938550122716132,587.9348123073578,78.0,80.0,78.0,81.0,78.0,75.0
peers,or,,True,0.06,0.095,1,0.09584085021022716,585.7126865386963,77.0,76.0,78.0,80.0,79.0,76.0
peers,or,,True,0.06,0.095,1,0.08610850493524759,597.6970708370209,77.0,80.0,79.0,80.0,78.0,75.0
peers,or,,True,0.06,0.095,1,0.09612118006268,586.6821088790894,77.0,76.0,77.0,79.0,78.0,77.0
peers,or,,True,0.06,0.095,1,0.09201191030910572,615.1079444885254,76.0,80.0,78.0,80.0,78.0,75.0
peers,or,,True,0.06,0.095,1,0.09308688463831592,583.568911075592,77.0,76.0,78.0,80.0,77.0,77.0
peers,or,,True,0.06,0.095,1,0.09850936623833018,600.5431408882141,77.0,79.0,77.0,80.0,79.0,74.0
peers,or,,True,0.06,0.095,1,0.08873393843468576,571.8601388931274,77.0,76.0,78.0,80.0,78.0,76.0
peers,or,,True,0.06,0.095,1,0.0905775519870734,600.2004499435425,76.0,79.0,78.0,80.0,79.0,75.0
peers,or,,True,0.06,0.095,1,0.09100007180682679,582.3308670520782,73.0,73.0,74.0,76.0,63.0,75.0
peers,or,,True,0.06,0.095,1,0.09350602652568225,590.6437718868256,71.0,71.0,60.0,76.0,59.0,73.0
peers,or,,True,0.06,0.095,1,0.09005076760660467,572.3010768890381,64.0,50.0,51.0,51.0,50.0,60.0
peers,or,,True,0.06,0.095,1,0.10102305401663546,571.8743665218353,64.0,50.0,50.0,50.0,50.0,60.0
